2.266666666666666829e-01 -6.981317007977319231e-03 9.916666666666666963e-01
2.800000000000000266e-01 -2.094395102393195596e-02 9.749999999999998668e-01
3.333333333333333703e-01 -3.490658503988659095e-02 9.583333333333332593e-01
3.866666666666666585e-01 -4.886921905584121900e-02 9.416666666666666519e-01
4.400000000000000022e-01 -6.283185307179585399e-02 9.250000000000000444e-01
4.933333333333333459e-01 -7.679448708775049592e-02 9.083333333333333259e-01
5.466666666666666341e-01 -9.075712110370512398e-02 8.916666666666666075e-01
6.000000000000000888e-01 -1.047197551196597937e-01 8.750000000000000000e-01
6.533333333333333215e-01 -1.186823891356143940e-01 8.583333333333333925e-01
7.066666666666667762e-01 -1.326450231515690636e-01 8.416666666666666741e-01
7.600000000000000089e-01 -1.466076571675236917e-01 8.249999999999999556e-01
8.133333333333333526e-01 -1.605702911834782920e-01 8.083333333333332371e-01
8.666666666666666963e-01 -1.745329251994329756e-01 7.916666666666667407e-01
9.200000000000000400e-01 -1.884955592153875481e-01 7.749999999999999112e-01
9.733333333333333837e-01 -2.024581932313422317e-01 7.583333333333333037e-01
