0.000000000000000000e+00 3.686422152775333666e-02 1.221278758522503609e-02 -3.424000898113335745e-02
1.000000000000000000e+00 6.269049447572091482e-01 1.021078312632560658e+00 -3.335144854342165788e-01
2.000000000000000000e+00 -3.588933940797726097e-01 1.153865547758878396e+00 -3.328147107264991522e-01
3.000000000000000000e+00 -1.771631253606244516e-01 1.990416274124977014e-01 -5.188866967324347046e-01
4.000000000000000000e+00 -9.300122915977986793e+00 1.377794896177856110e+00 6.943518992593148198e+01
5.000000000000000000e+00 -7.880684975014548854e+01 7.030277298738411673e+00 4.843363702431261117e+02
6.000000000000000000e+00 -2.671554836609296899e+02 1.930100621511192571e+01 1.551705406059005099e+03
7.000000000000000000e+00 -6.328041646813974239e+02 4.033449902531617681e+01 3.579063049177721496e+03
8.000000000000000000e+00 -1.234211032844614920e+03 7.227527310936898175e+01 6.873930051403428479e+03
9.000000000000000000e+00 -2.129834228183648975e+03 1.172678458472881857e+02 1.174382716454028196e+04
1.000000000000000000e+01 -3.378131890731566273e+03 1.774567346190913213e+02 1.849627514039243397e+04
1.100000000000000000e+01 -5.037562160521432816e+03 2.549864568047960347e+02 2.743879473076403883e+04
1.200000000000000000e+01 -7.166583177586317106e+03 3.520015297844192901e+02 3.887890668745925359e+04
1.300000000000000000e+01 -9.823653081959280826e+03 4.706464709379806663e+02 5.312413176228221710e+04
1.400000000000000000e+01 -1.306723001367339566e+04 6.130657976454958771e+02 7.048199070703709731e+04
